Date,temp,humidity,rainfall,wqi,diarrhea,cholera,typhoid,total_cases
2024-01-01,19.461477733553085,71.67572740259128,0.0,51.4143929791088,62,86,41,189
2024-01-02,22.791227846441537,70.74745174229083,0.0,51.73431302496201,60,93,33,186
2024-01-03,19.489234950413753,72.00974050180317,0.0,49.689901776289524,56,90,40,186
2024-01-04,22.8528056939305,69.31498883572742,0.0,48.43716474826224,72,81,51,204
2024-01-05,22.272992608816335,69.78125905971126,0.0,47.1461711665692,72,106,46,224
2024-01-06,22.70468577802663,68.6601931005131,0.5856229693200938,46.896872829374416,58,101,47,206
2024-01-07,23.145500307828986,69.45608651251393,1.1467619303313281,47.376681310833774,83,89,48,220
2024-01-08,23.362283530114777,69.24166811999014,0.0,46.56524296135933,77,70,50,197
2024-01-09,23.327421852649866,68.74112129818693,1.5904626969041158,45.59941942541426,91,83,53,227
2024-01-10,23.311458318694072,69.14725647158906,0.90689142143837,46.299615896488106,82,107,61,250
2024-01-11,23.02433066241164,66.71954666199568,1.7668869195650974,45.05804058284331,99,90,56,245
2024-01-12,23.87794270764594,66.89412586666379,1.2250747252933722,46.75834583602042,62,99,55,216
2024-01-13,24.78404615111568,67.87501795776319,1.338667898705935,44.55531866399293,94,92,65,251
2024-01-14,25.286072635884967,65.19640771601891,1.6185227994333686,45.10970978668147,104,78,45,227
2024-01-15,23.383533613773306,65.44587362028216,1.1561482184727443,44.76744658012814,84,87,46,217
2024-01-16,24.952742319189966,67.56394353098783,1.901400187182741,44.10379996345409,72,104,56,232
2024-01-17,26.18232093969103,64.68157809974163,0.7328545528321697,45.1314847340178,94,105,68,267
2024-01-18,24.903093492257867,63.33785028768203,1.8813313972421382,43.60565014275193,84,95,47,226
2024-01-19,25.20079509683363,66.96336787613227,0.9577145049522513,45.5050577030756,85,84,30,199
2024-01-20,24.919321814164128,62.516812319066965,0.3118251342950349,44.821930965407226,85,90,53,228
2024-01-21,24.825683948451832,61.6593527445366,2.676058223910318,46.99505184099954,75,76,14,165
2024-01-22,24.92484048936321,65.35136303749525,2.0462422741739097,47.92943277927197,73,91,39,203
2024-01-23,23.052740031322056,61.22281830963164,0.0,45.44090783819387,63,75,40,178
2024-01-24,23.876997990043222,61.7094609778893,2.8420982500304905,45.50658917757075,85,86,43,214
2024-01-25,22.75863081782841,59.822054601875976,1.95748462551645,48.09997379043117,61,71,26,158
2024-01-26,22.203101645077982,59.088577333224585,1.9207058664295447,49.43277193933359,60,79,31,170
2024-01-27,23.327424312891054,59.17406550235396,3.726977095110138,46.992278113035994,71,70,25,166
2024-01-28,21.440091715380216,56.773721329477944,1.6190286212161262,48.077965956584244,36,62,35,133
2024-01-29,21.395105803791267,56.829877675003615,1.77689188434557,48.65439546481278,38,56,34,128
